No.,NAME,Active/Inactive 1,Active/Inactive 2,'SpMax2_Bh(m)','SM6_B(m)','VE1_A','SM02_AEA(ri)','MATS4i','H_D/Dt','CATS3D_13_AL','IC4','SpMax8_Bh(m)','D/Dtr05','SpMin1_Bh(p)','SM13_AEA(ri)','CIC2','Chi_Dz(Z)','MATS2i','AVS_B(m)','H%','CIC3','P_VSA_LogP_5','BLI','VE1_B(m)','DP16','MATS3s','SdssC','CATS3D_09_AA','VE2sign_Dt','GATS5i','GATS6p','SpMax_EA(bo)','MaxssO','SpMAD_EA(ri)','ATS8s','SpPosA_B(m)','P_VSA_ppp_L','PBF','MATS3i','CATS3D_06_AL','rGes','JGI5','ChiA_B(i)','MATS8m','Eig05_EA(ri)','ATSC2m','VE2sign_Dz(i)','Eta_L_A','Eig05_AEA(ed)','H_Dz(m)','SM5_B(m)','SP16','ATSC1p','SM1_Dz(m)','VE1_Dz(i)','MATS4m','CIC4','Eig06_AEA(ri)','DP11','Mp','SpMAD_EA(dm)','X3A','minssO','Eta_B_A','ATSC1s','MATS6m','SpMin2_Bh(p)','PW2','ATS4i','X3sol','SM05_EA','ChiA_B(s)','SpDiam_EA(bo)','H_Dz(Z)','IC1','J_D','ATSC7m','BIC2','IVDE','VE1sign_Dz(Z)','P_VSA_MR_2','mindsCH','MATS8p','VE2_D/Dt','PW3','SHED_DL','CATS3D_11_AL','SpMin3_Bh(s)','SpMax2_Bh(s)','MATS3p'
23,JH-15_b_ctz,1,1,4.094924925,16.60496584,4.44514675,7.668072653,-0.004671086,3640.116561,0,5.581739284,3.493488503,207.8268717,2.172208964,3.979671592,1.650373946,0.331421377,0.028958221,4.114924279,40.69767442,1.049288732,22.55279518,1.272294821,4.434319642,10.3112976,0.158066455,3.391559879,0,0.016441576,0.997246999,1.427864913,5.701976441,0,1.532015795,7.08404174,1.682828162,248.3684453,4.775890808,-0.06253417,42,0.725490196,0.023844924,0.25352496,-0.055630111,2.557090249,53.12964174,0.001700008,0.232682282,6.949822468,762.6888623,13.84238206,10.31453325,11.29242813,1.365096261,6.661175434,-0.026320425,0.844525471,3.510278925,11.05648261,0.76672093,0.149287597,0.146166751,0,0.029787855,27.18906391,-0.03350554,2.088253397,0.604781003,5.922694483,36.88843416,8.717845705,0.205466918,8.701976441,710.9985326,3.619474128,1.174194756,244.4729654,0.695143708,1.644608053,0.272842891,0.0,1.639631979,-0.054388958,0.123504662,0.410893243,0.0,3,1.30630234,7.649904505,-0.043954938
24,JH-017_a_ctz,1,1,4.095189255,16.6049585,4.541859558,7.551178451,0.001009725,3683.93996,0,5.581739284,3.497308265,205.7605333,2.177088179,4.040908054,1.57606744,0.337807675,0.00274677,4.114924279,40.69767442,1.049288732,19.36722023,1.272806657,4.467384805,10.46352237,0.154026416,3.022595524,0,0.01659406,1.042583529,1.097117581,5.69370005,0,1.53097461,7.006370884,1.680876534,254.6591179,4.850197314,-0.021918652,44,0.745098039,0.021054805,0.253610297,-0.049476821,2.569213331,53.03111324,0.000854689,0.232621482,6.993116728,768.7837231,13.84237657,10.60681226,11.29242813,1.365096261,6.693781401,-0.049399615,0.844525471,3.510701719,11.1435326,0.76672093,0.155897233,0.144849211,0,0.029457722,27.18906391,-0.016576099,2.088251668,0.603662677,5.915989056,36.77922485,8.721113148,0.20549143,8.69370005,716.951846,3.693780634,1.196102232,239.0799335,0.705959219,1.644608053,0.383028907,23.54220399,1.650579635,-0.042009461,0.130652497,0.411748532,0.0,3,1.306317883,7.649904505,-0.005512611
25,JH-017_b_ctz,1,1,4.095189255,16.6049585,4.541859558,7.551178451,0.001009725,3683.93996,0,5.581739284,3.497308265,205.7605333,2.177088179,4.040908054,1.57606744,0.337807675,0.00274677,4.114924279,40.69767442,1.049288732,19.36722023,1.272806657,4.467384805,10.1186305,0.154026416,3.022595524,0,0.01659406,1.042583529,1.097117581,5.69370005,0,1.53097461,7.006370884,1.680876534,254.6591179,4.850197314,-0.021918652,47,0.745098039,0.021054805,0.253610297,-0.049476821,2.569213331,53.03111324,0.000854689,0.232621482,6.993116728,768.7837231,13.84237657,10.19232291,11.29242813,1.365096261,6.693781401,-0.049399615,0.844525471,3.510701719,10.95173624,0.76672093,0.155897233,0.144849211,0,0.029457722,27.18906391,-0.016576099,2.088251668,0.603662677,5.915989056,36.77922485,8.721113148,0.20549143,8.69370005,716.951846,3.693780634,1.196102232,239.0799335,0.705959219,1.644608053,0.383028907,23.54220399,1.650579635,-0.042009461,0.130652497,0.411748532,0.0,3,1.306317883,7.649904505,-0.005512611
26,PBzIm_AcN,0,0,3.949743697,16.60422045,3.689123859,2.976370884,-0.123033912,1237.755952,0,4.769867892,2.912104082,60.84931833,1.95124015,3.548020215,0.838366216,0.812079513,-0.101048575,4.41511814,32.43243243,0.547693581,5.513495107,1.59883009,3.555773972,3.528719703,0.136195705,0.868045267,0,0.021838079,0.901341556,0.317629194,5.683537967,0,1.497495361,4.559126247,1.98010506,75.15893658,4.371087149,0.153018816,13,0.84,0.026655983,0.249502945,0.085841199,1.550586944,25.04744387,0.000209431,0.188551999,5.699234141,485.1055989,13.8390841,3.828879043,6.927311223,1.180161553,4.482195614,-0.166800323,0.439585473,2.410622771,6.213787082,0.836305405,0.291031176,0.143776359,0,0.027492456,13.12803254,-0.017469451,1.944364278,0.591519481,4.832400772,23.97876694,8.407601515,0.194191733,8.683537967,434.101929,3.722438501,1.951384176,15.49242021,0.756065591,1.571346433,0.606940846,0.0,1.473513374,0.086842853,0.143619851,0.43062544,4.455659734,0,0.965978159,7.649904505,0.029648357
27,PBzIm_Br,0,0,6.531645953,16.63126168,3.593021406,2.969972145,-0.060609406,1125.220238,0,4.640319531,2.909670581,53.53767531,1.949553038,3.533224902,0.820770703,0.818338285,-0.180173771,4.709137042,28.125,0.484680469,5.513495107,2.179762949,3.544261973,3.55790656,0.128564925,0.984480453,0,0.018812206,0.9119011,0.406096063,5.611376567,0,1.523413189,3.970291914,2.259691378,66.33373231,4.179229297,0.113133115,11,0.826086957,0.029958333,0.247984707,0.115794899,1.54800536,50.87734976,0.000875542,0.215162509,5.673941845,556.1883723,13.86880304,3.892150747,8.6672687,1.376698467,4.360513932,-0.121212073,0.359680469,2.410575344,6.195071053,0.9034125,0.135860798,0.149418286,0,0.033688914,11.89930114,-0.038710514,1.944238788,0.608913912,4.684097842,26.94919568,8.385032288,0.193948842,8.611376567,473.4578538,3.429229297,1.909080885,26.55339325,0.748300333,1.630982608,0.524433396,0.0,1.509138374,0.127456083,0.155906522,0.429902051,3.509530701,0,0.964936303,7.649904505,-0.010297909
28,PBzIm_Cl,0,1,3.950305941,16.61317987,3.593021406,2.969972145,-0.064800992,1125.220238,0,4.640319531,2.809100981,53.53767531,1.949708874,3.533224902,0.820770703,0.817801094,-0.16250872,4.54821965,28.125,0.484680469,5.513495107,1.883450603,3.545108572,3.557666904,0.192183722,0.814341564,0,0.018812206,0.902976078,0.380031772,5.611376567,0,1.523413189,3.970291914,2.098841623,66.33373231,4.179229297,0.110947335,11,0.826086957,0.029958333,0.24775674,0.09797008,1.54800536,29.00232538,0.000692919,0.204951202,5.673941845,487.5679075,13.84646853,3.891908115,6.655316011,1.32794995,4.360338488,-0.111924371,0.359680469,2.410575344,6.194228241,0.8879625,0.135860798,0.149418286,0,0.033688914,14.59994751,-0.022540668,1.944253739,0.608913912,4.690228259,24.78778514,8.385032288,0.192869213,8.611376567,427.2983957,3.429229297,1.909080885,15.58500987,0.748300333,1.630982608,0.524256649,0.0,1.42406893,0.117176298,0.155906522,0.429902051,3.509530701,0,0.96169219,7.649904505,-0.001704923
29,PBzIm_py,1,1,3.949719501,16.60414889,3.88214025,3.208776133,-0.051220435,1497.862698,0,4.92779897,2.91563373,68.48924012,1.952521455,3.547813472,0.997007214,0.737674456,-0.085006833,4.33995379,33.33333333,0.559756548,5.513495107,1.504550483,3.563593221,3.562595395,0.118409645,0.97425464,0,0.019379785,0.929819788,0.30864124,5.668197442,0,1.508532442,4.928460927,1.899207707,95.98769587,4.395310209,0.074359623,15,0.785714286,0.025326087,0.252909614,0.067834623,1.86850111,20.35792325,0.00375441,0.211632871,5.920025493,511.3172661,13.83920183,3.869293049,7.292669048,1.180161553,4.448330973,-0.112628781,0.464518452,2.574929454,6.311221698,0.826302381,0.135386899,0.142227776,0,0.025603374,11.14533302,-0.015751639,1.944428828,0.594043754,5.101569459,26.09895968,8.451267041,0.1990172,8.668197442,460.8126991,3.345174106,1.766899831,21.45608564,0.741106874,1.454024913,0.555010018,0.0,1.530920782,0.061511459,0.130843482,0.426826124,5.450691788,0,0.97831985,7.649904505,-0.014970478
30,Phd_Br,0,0,6.53164385,16.63132444,3.565712114,3.463553632,-0.009679908,1156.871429,0,3.856564762,2.924903488,29.31655012,2.064394333,3.473464849,1.183659167,0.743776883,-0.134298549,4.702867553,20.0,1.050325833,6.371149901,2.097641942,3.78800077,3.970525493,0.103117662,-1.275340031,2,0.014381375,0.917291392,0.207410369,5.607637833,0,1.569475991,1.386294361,2.23946857,44.2761398,3.723231429,0.084169685,6,0.5,0.044160494,0.244128403,0.271961129,1.752968469,71.16564009,0.004962751,0.216330071,5.949876332,566.0692109,13.86907271,4.322184168,7.884700998,1.462746013,4.163190469,-0.0913603,1.050325833,2.502430585,6.415404365,0.935036667,0.088888889,0.150055287,0,0.039026711,27.69070851,0.017135202,1.820411501,0.622030053,4.663685369,28.02950661,8.418697945,0.187618876,8.555571557,483.3964752,3.406238929,1.972058095,18.6435898,0.670298294,1.75,0.881165016,50.28985406,1.322375336,0.371216178,0.142162184,0.4474233,0.0,0,0.771606544,7.649904505,-0.042405306
31,Phd_Cl,0,0,3.978808823,16.61324378,3.565712114,3.463553632,-0.014745759,1156.871429,0,3.856564762,2.871002625,29.31655012,2.064394333,3.473464849,1.183659167,0.74335386,-0.109822479,4.548655053,20.0,1.050325833,6.371149901,1.812304127,3.78800077,3.96883714,0.141459005,-1.629985093,2,0.014381375,0.926450291,0.168631366,5.607637833,0,1.569475991,1.386294361,2.085315488,44.2761398,3.723231429,0.088366264,8,0.5,0.044160494,0.243909043,0.25435471,1.752968469,42.98336,0.004693104,0.206544235,5.949876332,497.4498408,13.84674428,4.320437887,5.91562764,1.418107901,4.162769039,-0.073628652,1.050325833,2.502430585,6.411399669,0.918556667,0.088888889,0.150055287,0,0.039026711,33.98658862,0.028535026,1.821058878,0.622030053,4.669862054,25.82222022,8.418697945,0.186579664,8.555571557,437.2382572,3.406238929,1.972058095,13.70720449,0.670298294,1.75,0.880636672,50.28985406,1.237305891,0.35742787,0.142162184,0.4474233,0.0,0,0.765173538,7.649904505,-0.033015873
32,Phd_py,1,1,3.978244345,16.60421338,3.866474418,3.95524371,-0.019363723,1535.881746,0,4.33418372,2.928770899,36.93535817,2.064394333,3.473464849,1.32548875,0.684563433,-0.032178023,4.347840532,27.5,0.987744375,6.371149901,1.457821552,3.78800077,3.960697684,0.116533627,-1.314838435,2,0.015349457,0.940102376,0.160714617,5.66465597,0,1.547690546,4.988164711,1.894887154,73.93010335,3.996439345,0.059610341,6,0.517241379,0.032233796,0.249589212,0.074963028,2.082228114,25.32972814,0.004755949,0.212720841,6.204042056,522.0233281,13.83947961,4.264517957,6.920082015,1.283957049,4.767055455,-0.08289215,0.987744375,2.79177207,6.53326509,0.846165,0.096969697,0.143058084,0,0.030299673,20.15777406,0.017178428,1.864788297,0.605411255,5.088046675,27.04874006,8.482808765,0.193679467,8.613359864,471.5756563,3.29509565,1.795714488,24.18543112,0.676572433,1.635845326,0.829609375,50.28985406,1.369250336,0.07688732,0.115229091,0.441498928,0.0,0,0.863845878,7.649904505,-0.04331004
