No.,NAME,Active/Inactive 1,Active/Inactive 2,'SpMax2_Bh(m)','SM6_B(m)','VE1_A','SM02_AEA(ri)','MATS4i','H_D/Dt','CATS3D_13_AL','IC4','SpMax8_Bh(m)','D/Dtr05','SpMin1_Bh(p)','SM13_AEA(ri)','CIC2','Chi_Dz(Z)','MATS2i','AVS_B(m)','H%','CIC3','P_VSA_LogP_5','BLI','VE1_B(m)','DP16','MATS3s','SdssC','CATS3D_09_AA','VE2sign_Dt','GATS5i','GATS6p','SpMax_EA(bo)','MaxssO','SpMAD_EA(ri)','ATS8s','SpPosA_B(m)','P_VSA_ppp_L','PBF','MATS3i','CATS3D_06_AL','rGes','JGI5','ChiA_B(i)','MATS8m','Eig05_EA(ri)','ATSC2m','VE2sign_Dz(i)','Eta_L_A','Eig05_AEA(ed)','H_Dz(m)','SM5_B(m)','SP16','ATSC1p','SM1_Dz(m)','VE1_Dz(i)','MATS4m','CIC4','Eig06_AEA(ri)','DP11','Mp','SpMAD_EA(dm)','X3A','minssO','Eta_B_A','ATSC1s','MATS6m','SpMin2_Bh(p)','PW2','ATS4i','X3sol','SM05_EA','ChiA_B(s)','SpDiam_EA(bo)','H_Dz(Z)','IC1','J_D','ATSC7m','BIC2','IVDE','VE1sign_Dz(Z)','P_VSA_MR_2','mindsCH','MATS8p','VE2_D/Dt','PW3','SHED_DL','CATS3D_11_AL','SpMin3_Bh(s)','SpMax2_Bh(s)','MATS3p'
13,Bpm_Br,0,0,6.531644154,16.6311727,3.483141923,2.449489743,-0.207645087,701.1,0,3.642371449,2.83046748,29.1981574,1.978881646,3.135816438,1.058068269,1.062842569,-0.035745159,4.815928356,23.07692308,1.058068269,33.5710591,2.400925949,3.344951747,1.859389287,0.071285085,0.406424897,0,0.023953058,0.664643176,0.165943296,5.60198665,0,1.481697294,1.386294361,2.389387436,18.95249495,3.642371449,0.09159004,0,0.5,0.029074074,0.247784965,0.260836247,1.24383013,80.10390957,0.012410893,0.213948808,5.236067977,530.2401054,13.8684329,2.102234679,7.818389912,1.412108296,4.254770777,-0.090079025,1.058068269,2.140434988,4.889186749,0.938157692,0.243934688,0.15389405,0,0.033600414,11.28691846,0.026863995,1.822335248,0.605959873,4.432514451,25.63330646,8.345455428,0.189218682,8.541203556,447.6125394,3.276610872,2.197312943,20.47004294,0.684408241,1.619240705,0.0,0.0,1.404045782,0.329153863,0.156336056,0.438137101,0.0,0,0.656515471,7.649904505,-0.088978877
14,Bpm_MeIm,0,1,3.822053391,16.6042005,3.706632738,3.089839334,-0.037190515,972.0642857,0,4.33743546,2.835663703,96.75419842,1.978881646,3.135816438,1.034180068,0.91709063,0.191258978,4.394544851,32.43243243,0.872017906,36.69537299,1.577963706,3.344951747,2.349262998,0.081624325,0.396199085,0,0.023371754,0.970265562,0.140070997,5.700676229,0,1.475223657,4.248495242,1.976234862,18.95249495,4.175273298,-0.037146281,1,0.52,0.025030864,0.249876697,0.08542537,1.482866016,26.25178571,0.007526824,0.190723007,5.628381143,491.6728158,13.83901019,2.608614748,7.102778407,1.26426796,4.305763706,-0.053288201,0.872017906,2.425378351,5.384046931,0.816035135,0.302631954,0.143803832,0,0.028808435,11.34315096,0.017031301,1.835431803,0.599229437,5.011054342,24.70379076,8.427487278,0.194212235,8.641624703,440.8071237,3.491916203,1.977222844,20.64689935,0.725517796,1.571346433,0.0,0.0,1.450920782,0.102782129,0.125068844,0.434273892,0.0,0,0.76714283,7.649904505,-0.114298833
15,Bpm_py,0,1,3.821790803,16.60405747,3.79966431,2.959454775,-0.09180304,995.6309524,0,4.183542362,2.848904242,38.28601219,1.978881646,3.135816438,1.208604861,0.881005424,0.027086985,4.379884851,30.55555556,0.986382639,33.5710591,1.581862488,3.344951747,2.001529122,0.09254598,0.396199085,0,0.021131421,0.818096737,0.139176401,5.659757513,0,1.474182222,3.951243719,1.959714661,48.6064585,3.96132014,0.053601581,4,0.52,0.020715021,0.253550225,0.100836798,1.479564818,25.25232523,0.009959306,0.210238354,5.626693125,481.625879,13.83882057,2.237229771,6.835508085,1.223098732,4.214055857,-0.083989507,0.986382639,2.279555391,5.152924849,0.838544444,0.220234398,0.144427893,0,0.024562309,11.43582071,0.020193127,1.865656536,0.589896104,4.943996757,24.65253991,8.414274137,0.196090859,8.599863744,431.2515163,3.182049368,1.970480382,22.51172256,0.691580858,1.429275071,0.0,0.0,1.450920782,0.102625713,0.125068844,0.433384515,0.0,0,0.839226124,7.649904505,-0.083473239
16,Bpy_9_Br,1,1,6.531651699,16.63134349,3.62628071,3.726206736,-0.007713498,1567.353612,6,4.600977614,3.363268867,75.95570728,2.043150061,3.411503863,2.815180107,0.211104273,-0.127425275,3.983567556,53.65853659,2.20692545,6.371149901,2.012241255,3.758754649,13.25298459,0.281878665,3.603367221,0,0.0,0.871899971,1.099592168,5.602855157,0,1.415736505,6.200492338,1.8332164,102.4790561,3.542371898,0.130817329,12,0.5,0.031575758,0.281256189,-0.059984251,1.917963659,73.54651633,0.0,0.352714679,5.376989732,627.1087552,13.86935232,13.42775723,16.90723545,1.339988608,4.636754369,-0.017086947,1.75657439,2.866553906,13.20656643,0.702545122,0.06,0.171048832,0,0.021271184,27.0344613,-0.027970696,1.97914233,0.561031512,5.702255719,30.4428225,8.373553741,0.229670637,8.549566059,544.4141612,2.726530487,1.623331662,111.2608358,0.537948682,1.37645502,0.0,0.0,1.693606095,-0.049060536,0.140593382,0.350996629,0.0,11,1.416481864,7.649904505,0.063959237
17,Bpy_9_Cl,1,1,3.905013672,16.61326312,3.62628071,3.726206736,-0.017184826,1567.353612,6,4.600977614,3.125280257,75.95570728,2.043150061,3.411503863,2.815180107,0.211078167,-0.123986547,3.886170187,53.65853659,2.20692545,6.371149901,1.81963823,3.758754649,13.25321072,0.34191836,3.357611048,0,0.0,0.868077134,1.121257781,5.602855157,0,1.415736505,6.219634246,1.735858669,102.4790561,3.542371898,0.124446415,12,0.5,0.031575758,0.281109661,-0.052423812,1.917963659,74.76706359,0.0,0.346534151,5.376989732,558.4887272,13.84703017,13.42798998,14.69359165,1.28937038,4.636754369,-0.016472864,1.75657439,2.866553906,13.20690743,0.696515854,0.06,0.171048832,0,0.021271184,28.58263757,-0.033994412,1.979194581,0.561031512,5.704446385,28.2355361,8.373553741,0.228973214,8.549566059,498.2551237,2.726530487,1.623331662,97.57518989,0.537948682,1.37645502,0.0,0.0,1.60853665,-0.045343737,0.140593382,0.350996629,0.0,11,1.415812759,7.649904505,0.06384361
18,Bpy_9_py,1,1,3.904385397,16.6042329,3.908513086,3.864761765,-0.015572636,2028.553762,6,4.870963043,3.363268867,85.04356207,2.043150061,3.411503863,2.699505911,0.226195054,-0.085209409,3.831026076,53.26086957,2.053998771,6.371149901,1.564378891,3.758754649,13.1588831,0.244387482,3.578533405,0,0.005632469,0.905387173,1.021466878,5.660504128,0,1.420432528,6.351017122,1.64806767,132.1330197,3.824056045,0.106104831,15,0.511627907,0.02524729,0.280014975,-0.042051101,2.078426581,89.29102084,0.0,0.334421872,5.674229325,590.0978116,13.8397676,13.33072736,13.45667763,1.135297739,4.636754369,-0.030168651,1.652598913,2.949918421,13.14710072,0.689176087,0.069565217,0.160587322,0,0.017450103,28.84029018,-0.037410827,1.979954871,0.556916339,5.873776092,29.46205595,8.440528106,0.228309163,8.608091798,539.6127327,2.895328127,1.50595163,102.1667771,0.565004714,1.275849806,0.0,0.0,1.604465752,-0.040305008,0.132830754,0.35836611,0.0,14,1.417105139,7.649904505,0.063245017
19,Dppz_Br,1,0,6.531625604,16.63150986,3.576646511,4.554338086,0.060225031,2582.819048,0,4.83418372,3.003669051,30.45077111,2.160773234,4.053183087,0.887744375,0.530518533,-0.186024091,4.590898509,25.0,0.537744375,16.17291898,1.816483427,4.347123816,9.019065234,0.143184746,2.358710422,2,0.009723665,0.93077894,0.521584379,5.592480957,0,1.53425587,5.305521355,2.06529521,82.18112969,4.43418372,0.062049935,10,0.5,0.034409171,0.244423316,-0.065427952,2.295876548,36.36673487,0.002937002,0.209086696,6.083262753,626.2104731,13.86987831,9.436802282,8.858897024,1.412108296,4.767018228,-0.071711849,0.487744375,2.837881969,9.925597189,0.8978725,0.068571429,0.148372317,0,0.032683951,14.08016015,-0.008659319,1.955664653,0.612624043,4.926516637,30.71562595,8.453401058,0.19357589,8.592480957,543.404031,3.603701696,1.491380918,36.77652406,0.743269201,1.579469266,0.723725706,0.0,1.527130155,-0.051208672,0.147746159,0.423681786,0.0,6,1.065511894,7.649904505,-0.026212455
20,Dppz_Cl,1,1,4.095409548,16.61343255,3.576646511,4.554338086,0.054329414,2582.819048,0,4.83418372,2.981422971,30.45077111,2.160773582,4.053183087,0.887744375,0.530355276,-0.168584672,4.467528509,25.0,0.537744375,16.17291898,1.596365684,4.347262449,9.01889207,0.205954259,2.079682645,2,0.009723665,0.938398701,0.502387629,5.592480957,0,1.53425587,5.332189184,1.941984785,82.18112969,4.43418372,0.062945994,10,0.5,0.034409171,0.244254852,-0.068046111,2.295876548,25.13240066,0.002752439,0.201258028,6.083262753,557.5870907,13.84756804,9.436629195,6.832885191,1.365096261,4.767565106,-0.057994003,0.487744375,2.837881969,9.925248608,0.8855125,0.068571429,0.148372317,0,0.032683951,16.94279343,0.00055662,1.955665045,0.612624043,4.9312691,28.50833955,8.453401058,0.192776198,8.592480957,497.2410629,3.603701696,1.491380918,25.40992434,0.743269201,1.579469266,0.723250424,0.0,1.44206071,-0.055611967,0.147746159,0.423681786,0.0,6,1.065506863,7.649904505,-0.018784498
21,Dppz_py,1,1,4.095403963,16.60440388,3.874865152,6.495954812,0.030480938,3157.472078,0,5.09366069,3.003669051,36.60935068,2.160775892,4.061600949,1.03548875,0.50957156,-0.09802361,4.314443126,30.0,0.5901955,16.17291898,1.342651188,4.348529492,8.932303655,0.129522679,2.333820022,2,0.013132393,0.949578095,0.421488754,5.650581065,0,1.521964733,5.725043515,1.804724938,111.8350932,4.60836744,0.041233045,12,0.514285714,0.02779321,0.248650048,-0.023343802,2.319181164,18.67454545,0.00203458,0.207130959,6.351580645,587.4756698,13.8403094,9.306105621,7.530082468,1.223098732,5.130862841,-0.072403603,0.5501955,3.125083743,9.91555557,0.834208,0.07804878,0.142782358,0,0.026359085,12.77169363,0.00290032,1.955672138,0.600197897,5.267575582,29.7348594,8.515391569,0.197495054,8.650581065,536.8661729,3.516300261,1.407577702,21.68089434,0.738709275,1.436505954,0.790961349,0.0,1.531321492,-0.018203787,0.130906393,0.422164665,0.0,6,1.065527144,7.649904505,-0.032789383
22,JH-15_a_ctz,1,1,4.094924925,16.60496584,4.44514675,7.668072653,-0.004671086,3640.116561,0,5.581739284,3.493488503,207.8268717,2.172208964,3.979671592,1.650373946,0.331421377,0.028958221,4.114924279,40.69767442,1.049288732,22.55279518,1.272294821,4.434319642,9.749961387,0.158066455,3.391559879,0,0.016441576,0.997246999,1.427864913,5.701976441,0,1.532015795,7.08404174,1.682828162,248.3684453,4.775890808,-0.06253417,42,0.725490196,0.023844924,0.25352496,-0.055630111,2.557090249,53.12964174,0.001700008,0.232682282,6.949822468,762.6888623,13.84238206,9.904233309,11.29242813,1.365096261,6.661175434,-0.026320425,0.844525471,3.510278925,10.59898232,0.76672093,0.149287597,0.146166751,0,0.029787855,27.18906391,-0.03350554,2.088253397,0.604781003,5.922694483,36.88843416,8.717845705,0.205466918,8.701976441,710.9985326,3.619474128,1.174194756,244.4729654,0.695143708,1.644608053,0.272842891,0.0,1.639631979,-0.054388958,0.123504662,0.410893243,0.0,4,1.30630234,7.649904505,-0.043954938
