sample num,Active/Inactive 1,aureus MRSA43300 (target),Active/Inactive 2,aureus ATCC25923 (target),'SpMax2_Bh(m)','SM6_B(m)','VE1_A','SM02_AEA(ri)','MATS4i','H_D/Dt','CATS3D_13_AL','IC4','SpMax8_Bh(m)','D/Dtr05','SpMin1_Bh(p)','SM13_AEA(ri)','CIC2','Chi_Dz(Z)','MATS2i','AVS_B(m)','H%','CIC3','P_VSA_LogP_5','BLI','VE1_B(m)','DP16','MATS3s','SdssC','CATS3D_09_AA','VE2sign_Dt','GATS5i','GATS6p','SpMax_EA(bo)','MaxssO','SpMAD_EA(ri)','ATS8s','SpPosA_B(m)','P_VSA_ppp_L','PBF','MATS3i','CATS3D_06_AL','rGes','JGI5','ChiA_B(i)','MATS8m','Eig05_EA(ri)','ATSC2m','VE2sign_Dz(i)','Eta_L_A','Eig05_AEA(ed)','H_Dz(m)','SM5_B(m)','SP16','ATSC1p','SM1_Dz(m)','VE1_Dz(i)','MATS4m','CIC4','Eig06_AEA(ri)','DP11','Mp','SpMAD_EA(dm)','X3A','minssO','Eta_B_A','ATSC1s','MATS6m','SpMin2_Bh(p)','PW2','ATS4i','X3sol','SM05_EA','ChiA_B(s)','SpDiam_EA(bo)','H_Dz(Z)','IC1','J_D','ATSC7m','BIC2','IVDE','VE1sign_Dz(Z)','P_VSA_MR_2','mindsCH','MATS8p','VE2_D/Dt','PW3','SHED_DL','CATS3D_11_AL','SpMin3_Bh(s)','SpMax2_Bh(s)','MATS3p'
57,0,36,0,33,6.531625251,16.63132074,4.279372349,4.234733946,-0.016990865,1580.62381,0,4.802529763,2.997793076,34.50457337,2.176845219,3.62789516,0.947315344,0.585726132,-0.073475788,4.507021004,40,0.689323334,3.185574951,2.048606699,3.991906514,5.5500006,0.187177096,3.267826594,0,0.01434919,0.953019711,0.803459515,5.594146026,0,1.575973864,5.610692295,2.094790326,73.28628432,0.589225558,0.057462629,14,0.814814815,0.0325,0.250369511,-0.047169758,1.983762494,30.8665842,0.007473142,0.286566479,6.155066283,584.1035537,13.86909728,5.863980077,11.08727571,1.339988608,4.678941076,-0.056925455,0.689323334,2.831258265,7.507536277,0.815788889,0.089998986,0.146899368,0,0.041987587,20.43523697,-0.058976252,1.951735861,0.630256472,5.273262477,29.40950333,8.507344855,0.202896798,8.538673548,501.2640457,3.632992197,1.668961432,122.9216325,0.766268593,1.882164435,0.852394269,23.54220399,1.589769398,-0.052299952,0.152609931,0.437628205,0,0,1.071873396,7.649904505,0.013834067
58,0,54,0,50,4.032668264,16.61323999,4.279372349,4.234733946,-0.032923533,1580.62381,0,4.802529763,2.981325979,34.50457337,2.176873206,3.62789516,0.947315344,0.585490485,-0.060687614,4.369943227,40,0.689323334,3.185574951,1.800086667,3.993162986,5.555570147,0.24492538,2.958173816,0,0.01434919,0.948751001,0.787593447,5.594146026,0,1.575973864,5.640132448,1.957777541,73.28628432,0.594069124,0.057548811,13,0.814814815,0.0325,0.250178883,-0.010453049,1.983762494,23.75050519,0.007621707,0.277867959,6.155066283,515.4809584,13.8467694,5.870018646,9.011847748,1.28937038,4.679135862,-0.055381499,0.689323334,2.831258265,7.517591189,0.804802222,0.089998986,0.146899368,0,0.041987587,21.97309849,-0.04394668,1.951813907,0.630256472,5.276516107,27.24809279,8.507344855,0.2019928,8.538673548,455.1020342,3.632992197,1.668961432,102.942656,0.766268593,1.882164435,0.851999282,23.54220399,1.504699953,-0.032225659,0.152609931,0.437628205,0,0,1.071873384,7.649904505,0.018635987
59,0,37,0,36,4.032668264,16.61323999,4.279372349,4.234733946,-0.032923533,1580.62381,0,4.802529763,2.981325979,34.50457337,2.176873206,3.62789516,0.947315344,0.585490485,-0.060687614,4.369943227,40,0.689323334,3.185574951,1.800086667,3.993162986,5.549312117,0.24492538,2.958173816,0,0.01434919,0.948751001,0.787593447,5.594146026,0,1.575973864,5.640132448,1.957777541,73.28628432,0.586639821,0.057548811,14,0.814814815,0.0325,0.250178883,-0.010453049,1.983762494,23.75050519,0.007621707,0.277867959,6.155066283,515.4809584,13.8467694,5.863246166,9.011847748,1.28937038,4.679135862,-0.055381499,0.689323334,2.831258265,7.505979394,0.804802222,0.089998986,0.146899368,0,0.041987587,21.97309849,-0.04394668,1.951813907,0.630256472,5.276516107,27.24809279,8.507344855,0.2019928,8.538673548,455.1020342,3.632992197,1.668961432,102.942656,0.766268593,1.882164435,0.851999282,23.54220399,1.504699953,-0.032225659,0.152609931,0.437628205,0,0,1.071873384,7.649904505,0.018635987
60,1,1.56,1,1.56,4.032605805,16.60420956,4.40463443,5.846246711,-0.042667354,2020.648413,0,5.07191335,2.997791467,42.26942567,2.177051278,3.641171754,1.030382445,0.564724223,-0.013146189,4.21681629,41.81818182,0.709446364,3.185574951,1.485907742,4.00849012,5.417495185,0.158374158,3.245155581,0,0.015369743,0.962240721,0.658324,5.65234522,0,1.555896551,5.966573571,1.805172521,102.9402479,1.205996368,0.041316371,14,0.78125,0.025074526,0.254142296,0.014992624,2.090323123,36.57318069,0.006459947,0.272321176,6.401604872,542.9302145,13.83950491,5.690294711,8.933418507,1.135297739,5.005922799,-0.070276915,0.709446364,3.016901013,7.448670142,0.772836364,0.097026177,0.14131225,0,0.033616072,22.06464326,-0.03212966,1.953200574,0.613910308,5.52564417,28.55926732,8.566173814,0.205754211,8.597181503,492.2975672,3.668004127,1.578890347,102.0356112,0.76512005,1.745657329,0.946441154,23.54220399,1.605440694,-0.003316626,0.132129555,0.433729557,0,0,1.071873602,7.649904505,0.011416458
61,1,1.56,1,1.56,4.032605805,16.60420956,4.40463443,5.846246711,-0.042667354,2020.648413,0,5.07191335,2.997791467,42.26942567,2.177051278,3.641171754,1.030382445,0.564724223,-0.013146189,4.21681629,41.81818182,0.709446364,3.185574951,1.485907742,4.00849012,5.545787159,0.158374158,3.245155581,0,0.015369743,0.962240721,0.658324,5.65234522,0,1.555896551,5.966573571,1.805172521,102.9402479,1.177038906,0.041316371,17,0.78125,0.025074526,0.254142296,0.014992624,2.090323123,36.57318069,0.006459947,0.272321176,6.401604872,542.9302145,13.83950491,5.821747802,8.933418507,1.135297739,5.005922799,-0.070276915,0.709446364,3.016901013,7.605854521,0.772836364,0.097026177,0.14131225,0,0.033616072,22.06464326,-0.03212966,1.953200574,0.613910308,5.52564417,28.55926732,8.566173814,0.205754211,8.597181503,492.2975672,3.668004127,1.578890347,102.0356112,0.76512005,1.745657329,0.946441154,23.54220399,1.605440694,-0.003316626,0.132129555,0.433729557,0,0,1.071873602,7.649904505,0.011416458
62,1,0.8,1,3.1,3.993284179,16.60468085,3.880009016,6.905531399,-0.094909049,2270.848958,7,5.800554385,3.088796981,93.98341999,2.075147417,3.754777767,1.21755864,0.243529034,-0.050325215,4.14368592,35.29411765,0.445068566,31.74236334,1.275041161,4.130890132,13.71073467,0.109182427,1.919346498,3,0.002323909,0.82815211,0.708646903,5.686311764,5.469644278,1.489181091,5.924830068,1.712532655,173.8385069,1.251605412,0.021148833,11,0.659090909,0.025386905,0.254840519,0.037770788,2.524922676,30.13683986,0.008204203,0.194084812,6.383494,645.3177957,13.8412328,13.91611727,9.458630361,1.32274202,6.205272077,-0.091839389,0.286908456,3.365760032,13.33054484,0.785598529,0.165266499,0.155921192,5.469644278,0.024527986,18.27277907,-0.034183778,2.000385737,0.59287928,5.528138357,32.42104295,8.513385953,0.201025114,8.686311764,594.2712867,3.631100291,0.963968274,39.74671232,0.737874017,1.382124515,0.768544135,36.14481492,1.547415906,0.075072666,0.139468783,0.398536243,7.061417898,7,1.093237862,7.649904505,-0.023758397
63,1,0.8,1,3.1,3.999552618,16.60484557,4.066006412,8.043693062,-0.040728138,3022.6174,7,5.327059782,3.404990688,110.2957743,2.075172328,3.930498755,1.853093174,0.220238296,0.085141235,4.005118855,43.47826087,1.356881386,38.11351324,1.27096827,4.132267058,13.56253931,0.102840951,3.92705306,3,0.003893494,0.876486783,1.361617219,5.68701904,5.506667265,1.523612741,6.888848891,1.643494386,214.2083874,1.671832028,-0.090572,20,0.615384615,0.034931917,0.254431641,0.001379551,2.741320757,68.05870948,0.00923095,0.228428399,6.928626436,723.7831165,13.84195988,13.80872853,12.44902444,1.32274202,6.65493529,-0.038570384,1.196502174,3.691846198,13.2169189,0.733825,0.14247112,0.156750047,5.506667265,0.035940153,27.4081272,-0.002090971,2.056405952,0.612244006,5.988799325,35.03099285,8.65538869,0.203049726,8.68701904,672.5388416,3.769975063,1.022933118,236.2920586,0.675034124,1.765465591,0.837030114,36.14481492,1.58615801,-0.030292407,0.123489071,0.38365281,8.667347078,8,1.236684485,7.649904505,-0.045696952
64,1,25,1,12.5,3.998045619,16.60483225,4.037077058,7.78747395,-0.115055277,3193.670984,7,5.516948699,3.405016887,115.3653714,2.075165949,3.866047703,1.655580177,0.214184399,0.020971722,3.970466305,43.75,1.18004388,37.99099113,1.28063025,4.131509416,13.51912375,0.147233998,3.71890229,8,0.004123648,0.922506893,1.039363313,5.686960549,5.513617582,1.457260938,6.738144694,1.625410732,190.186829,1.762416462,0.173318919,13,0.611111111,0.031847484,0.260724837,-0.17005295,2.656505742,70.96028347,0.009592889,0.229048634,6.414371792,744.823728,13.84195979,13.74692245,12.71944634,1.39607141,6.758546506,-0.075681187,1.068013802,3.57210646,13.18315806,0.724201042,0.191055416,0.159795322,5.513617582,0.024410209,27.69190612,0.011316054,2.044264416,0.587143258,5.856641879,36.09346749,8.568076402,0.207903094,8.686960549,693.5426788,3.819450492,1.027781749,153.2469975,0.707656471,1.516342153,0.839065109,177.3980389,1.587411868,-0.209459778,0.119258606,0.396225005,7.710569918,13,1.189890673,7.649904505,0.049078863
65,1,6.2,1,6.2,3.994541123,16.60476596,3.967881541,6.918052372,-0.121640723,2646.259447,7,5.760828171,3.10013121,101.8855179,2.075148741,3.843613681,1.229288447,0.2332469,0.048160227,4.077970427,36.84210526,0.62861102,31.74236334,1.238711005,4.131257941,13.62720242,0.087039533,2.452686308,8,0.002732246,0.858747454,0.942604782,5.686923975,5.479201891,1.466029614,6.426117542,1.682289476,154.8860119,1.497578928,0.025485299,8,0.666666667,0.032219267,0.256547661,0.017125983,2.526632482,41.87237444,0.009104989,0.199603722,6.396697557,689.5747758,13.8416219,13.85396697,10.55215167,1.447507045,6.450967828,-0.09271653,0.487099342,3.50565635,13.25838117,0.761217105,0.21672824,0.158096729,5.421033884,0.025323502,20.18843524,-0.026931529,2.006873091,0.592083784,5.616804332,33.95340787,8.537191878,0.200540352,8.686923975,638.4112854,3.950206859,0.990926979,111.5189302,0.747461357,1.476739449,0.83163816,36.14481492,1.469349957,0.021262063,0.131542731,0.394965492,6.775435579,9,1.09334093,7.649904505,-0.015600439
66,0,50,0,6.2,4.065033526,16.60508906,4.127518709,8.039144107,-0.071405951,4276.171099,14,5.590526258,3.490549973,103.8660299,2.123637486,4.051557069,2.09279961,0.218744405,-0.029650755,4.105795574,35.55555556,1.271151422,56.36930815,1.170868813,4.450880339,17.04097353,0.124070907,2.610966026,2,0.000915052,0.92288199,1.094375494,5.685622122,5.528228716,1.50605561,6.745011991,1.631203974,268.7619363,1.485846522,0.009459308,23,0.603448276,0.02827474,0.253035456,-0.046949918,2.656714539,44.03704687,0.010842236,0.190257115,6.531204487,810.9294732,13.84303082,17.24923536,11.00556956,1.32274202,6.952649885,-0.045808409,0.901326839,3.631262744,15.56745266,0.782958889,0.123333208,0.155035454,5.528228716,0.02392658,22.84457569,-0.011975296,2.075164207,0.593325496,5.792733031,38.59792028,8.605387202,0.201930869,8.685622122,759.4645822,3.325533638,0.850952979,105.7476809,0.627429882,1.330678312,0.9397781,36.14481492,1.591655695,-0.036366711,0.116608269,0.389331591,10.69295466,19,1.189884992,7.649904505,-0.021850247
